source,source_name,target,target_name,source_affiliation,target_affiliation,publications_xid,publications_title,publications_abtract
ur.01025441731.01,"Wright, Lauri",ur.01213347266.19,"Sealey‐Potts, Claudia",UNF,UNF,"['pub.1147495410', 'pub.1150304586', 'pub.1151572301']","['Validity and reliability of a questionnaire measuring EBDPs among registered dietitian nutritionist', 'Nutrition Interventions Are Needed for Dementia Informal Caregivers', 'Determinant factors associated with the use of evidence‐based dietetics practice among registered dietitian nutritionists']","[""BACKGROUND: There is a lack of a valid and reliable instrument that measures objective and subjective knowledge of evidence-based dietetic practices (EBDP) among registered dietitian nutritionists (RDNs). The present study aimed to develop and assess the validity and reliability of an EBDP Questionnaire (EBDPQ) with objective knowledge items (i.e., quiz items) among RDNs in the USA.\r\nMETHODS: Subscales from four existing evidence-based practice (EBP) instruments were combined and modified for dietetics. Content and face validity and internal consistency were used to assess the full survey. Survey responsiveness and test-retest reliability were evaluated within the objective knowledge subscale. Content experts (n\u2009=\u200911) and nutrition professionals (n\u2009=\u200916) completed validation reviews. Doctoral students enrolled in a research course (n\u2009=\u200912) were used to analyse survey responsiveness. Internal and test-retest relability analyses utilised RDN participants (time point 1, n\u2009=\u2009482; time point 2, n\u2009=\u2009335).\r\nRESULTS: Content validation resulted in a 38-item questionnaire. Average percent agreement among face validity reviewers was 95.1%. Only the pre-validation version of the objective knowledge subscale resulted in significantly higher post-course scores (Mdn\u2009=\u200911.50) compared to the pre-course (Mdn\u2009=\u20099.75, p\u2009=\u20090.05). The validated instrument had excellent internal consistency (Cronbach's α\u2009=\u20090.91); however, the objective knowledge subscale was low (Cronbach's α\u2009=\u20090.41). A good degree of reliability was found between the two time points (intraclass correlation coefficient\u2009=\u20090.71).\r\nCONCLUSIONS: The EBDPQ demonstrated adequate validity and reliability among RDNs. Future research should assess construct validity, with the responsiveness and objective knowledge subscale requiring additional evaluation through an EBDP course."", nan, ""AIMS: There is a lack of research assessing perceived and actual evidence-based dietetics practice knowledge among registered dietitian nutritionists. This cross-sectional research examined the association between determinant factors (i.e., education attainment) and objective knowledge (i.e., quiz items) of evidence-based dietetics practices. Other determinant factors associated with perceived knowledge and skill, attitudes, behaviours and outcomes related to evidence-based dietetics practice were also assessed. Perceived knowledge items were compared to objective knowledge items to evaluate the accuracy of self-assessed evidence-based dietetics practice knowledge among dietitians in the United States.\r\nMETHODS: A modified and adapted evidence-based practice survey was emailed to registered dietitian nutritionists in the United States via the Commission on Dietetic Registration database between November and December 2020. Analysis of variance assessed the relationship between highest degree held and actual knowledge of evidence-based dietetics practices. Multiple linear regression and ordinal logistic regression determined participant-level characteristics associated with survey subscales and survey items, respectively. Pearson's correlation coefficient evaluated the relationship between subjective and objective items.\r\nRESULTS: Four hundred and eighty-two dietitians completed the survey. Each increase in degree type was associated with an increase in objective knowledge score (all comparisons p\u2009<\u20090.001). Other determinants included recency of degree completion and peer-reviewed publications. Moderate positive associations (r\xa0=\xa00.35, p\u2009<\u20090.001) were found between subjective and objective measures.\r\nCONCLUSION: Graduate-level education, recency of degree completion and peer-reviewed publications were supportive of evidence-based dietetics practice-related outcomes. Future research should evaluate the efficacy of training, particularly among those further from their highest completed degree.""]"
ur.01025441731.01,"Wright, Lauri",ur.012121456246.61,"Waterman, A.",UNF,UNF,['pub.1150304586'],['Nutrition Interventions Are Needed for Dementia Informal Caregivers'],[nan]
ur.01025441731.01,"Wright, Lauri",ur.010732040045.21,"Labyak, C.",UNF,UNF,['pub.1150304586'],['Nutrition Interventions Are Needed for Dementia Informal Caregivers'],[nan]
ur.01025441731.01,"Wright, Lauri",ur.01302000265.19,"Hamadi, Hanadi",UNF,UNF,['pub.1151572301'],['Determinant factors associated with the use of evidence‐based dietetics practice among registered dietitian nutritionists'],"[""AIMS: There is a lack of research assessing perceived and actual evidence-based dietetics practice knowledge among registered dietitian nutritionists. This cross-sectional research examined the association between determinant factors (i.e., education attainment) and objective knowledge (i.e., quiz items) of evidence-based dietetics practices. Other determinant factors associated with perceived knowledge and skill, attitudes, behaviours and outcomes related to evidence-based dietetics practice were also assessed. Perceived knowledge items were compared to objective knowledge items to evaluate the accuracy of self-assessed evidence-based dietetics practice knowledge among dietitians in the United States.\r\nMETHODS: A modified and adapted evidence-based practice survey was emailed to registered dietitian nutritionists in the United States via the Commission on Dietetic Registration database between November and December 2020. Analysis of variance assessed the relationship between highest degree held and actual knowledge of evidence-based dietetics practices. Multiple linear regression and ordinal logistic regression determined participant-level characteristics associated with survey subscales and survey items, respectively. Pearson's correlation coefficient evaluated the relationship between subjective and objective items.\r\nRESULTS: Four hundred and eighty-two dietitians completed the survey. Each increase in degree type was associated with an increase in objective knowledge score (all comparisons p\u2009<\u20090.001). Other determinants included recency of degree completion and peer-reviewed publications. Moderate positive associations (r\xa0=\xa00.35, p\u2009<\u20090.001) were found between subjective and objective measures.\r\nCONCLUSION: Graduate-level education, recency of degree completion and peer-reviewed publications were supportive of evidence-based dietetics practice-related outcomes. Future research should evaluate the efficacy of training, particularly among those further from their highest completed degree.""]"
ur.01110613476.83,"Arikawa, Andrea",ur.014243412173.03,"Ross, Jenifer M.",UNF,UNF,"['pub.1145697312', 'pub.1146384767', 'pub.1151885993', 'pub.1152002766']","['The Impact of a Food Recovery-Meal Delivery Program on Homebound Seniors’ Food Security, Nutrition, and Well-Being', 'Instructor and Student Perceptions of Teacher Empathy in Higher Education', 'Barriers to Implementing Weight Management Recommendations', 'Dietary Supplement Intake is Associated with Healthier Lifestyle Behaviors in College Students Attending a Regional University in the Southeast: A Cross-Sectional Study.']","[""Food insecurity is a growing problem among seniors. A novel program was established to help mitigate the problem of food insecurity among seniors who are homebound. Volunteers recover unused prepared food donated by area hospitals, repack it into healthy meals which are delivered to program participants. To evaluate the impact of our intervention, seniors' nutritional health and social well-being were measured at enrollment and after three to five months using the following: Mini Nutritional Assessment Short Form (MNA-SF), 24-hour recall, USDA 6-Item Food Security Survey, WHO-5 Well-Being Index, and the 3-Item Loneliness Scale. Statistical analysis indicated a significant improvement in nutritional health, well-being, and loneliness; participants also increased their consumption of protein and calories. Semi-structured interviews were conducted to investigate the self-perceived impact of the program. Thematic analysis of the interviews revealed that meal recipients perceive that food recovery-meal delivery programs may improve their nutrition health, food security, and well-being."", 'Empathy is recognized as the ability to relate emotionally to an experience or another person’s emotions. Evidence supports the notion that students learn better and have greater positive perceptions when instructors display empathetic values and seek more meaningful relationships with their students. The purpose of this study was to assess instructor self-reported empathy and students’ perceptions of instructor empathy, using the Toronto Empathy Questionnaire (TEQ) and a newly developed Instructor Empathy Practices questionnaire (IEP7), among a convenience sample from a public university. This convergent mixed-methods study consisted of a cross-sectional survey sent to both students and instructors and focus groups conducted with students. A total of 168 students and 68 faculty members completed the survey and 19 students participated in the focus groups. Contextual factors such as race (p = 0.036), classification (p = 0.003) and GPA (p = 0.028) played significant roles in student empathy scores. Among instructors, only total student enrollment (p = 0.028) had an association with teacher empathy. Focus groups revealed themes related to recognizing empathy including understanding its definition, instructional techniques, perception in relation to class motivation, and importance. This study was the first to employ a convergent study design to assess and better characterize empathy from both instructors’ and students’ perspectives.', 'Dietitians are responsible for using evidence-based practice to mitigate the effects of obesity; however, it is unclear how dietitians use research to guide weight management interventions. The aim of this pilot study was to identify the barriers of research utilization and implementation of evidence-based practice in adult weight management. A survey was disseminated to dietitians working at least part-time with people with obesity. Dietitians seem to value research and evidence-based practice; however, implementation may be an issue. The pilot study found that workplace setting may provide a barrier to research utilization, but dietitian opinion of current screening and referral guidelines may also be a significant barrier to implementing best practices in adult weight management.', 'The relationship between intake of dietary supplements and biomarkers such as insulin and insulin-like growth factor has not been well explored. The primary aim of this cross-sectional study was to investigate the associations between supplement intake and biological and lifestyle factors. We hypothesized that dietary supplement intake was associated with healthier lifestyle behaviors. College students attending a Southeast university were recruited between January 2018 and April 2019. Blood samples were collected to measure insulin, insulin-like growth factor 1 (IGF-1) and alanine aminotransferase (ALT). Statistical tests employed were linear regression and analysis of variance. Ninety-eight participants completed the study and 91% reported taking at least one supplement, while 5.1% reported taking 9+ supplements once per week. There were no differences in levels of insulin, IGF-1 and ALT by levels of dietary supplement intake. Although there were no differences in HEI-2015 score among the groups, those who consumed five or more supplements met a higher percentage of the recommended intake for fruits, performed aerobic exercise for longer duration, and had lower body fat percentage compared to participants who consumed two or less supplements at least once per week. These findings are consistent with previous studies and suggest that dietary supplement intake is highly prevalent in college students, and it may be related to healthy lifestyle behaviors. Future studies should employ mixed methodology to examine reasons by which college students consume dietary supplements and to assess perceived and direct health benefits associated with consumption.']"
ur.01110613476.83,"Arikawa, Andrea",ur.01025441731.01,"Wright, Lauri",UNF,UNF,"['pub.1145697312', 'pub.1147495410', 'pub.1151572301', 'pub.1151885993', 'pub.1152312344']","['The Impact of a Food Recovery-Meal Delivery Program on Homebound Seniors’ Food Security, Nutrition, and Well-Being', 'Validity and reliability of a questionnaire measuring EBDPs among registered dietitian nutritionist', 'Determinant factors associated with the use of evidence‐based dietetics practice among registered dietitian nutritionists', 'Barriers to Implementing Weight Management Recommendations', 'Food insecurity among older adults living in low- and middle-income countries: a scoping review.']","[""Food insecurity is a growing problem among seniors. A novel program was established to help mitigate the problem of food insecurity among seniors who are homebound. Volunteers recover unused prepared food donated by area hospitals, repack it into healthy meals which are delivered to program participants. To evaluate the impact of our intervention, seniors' nutritional health and social well-being were measured at enrollment and after three to five months using the following: Mini Nutritional Assessment Short Form (MNA-SF), 24-hour recall, USDA 6-Item Food Security Survey, WHO-5 Well-Being Index, and the 3-Item Loneliness Scale. Statistical analysis indicated a significant improvement in nutritional health, well-being, and loneliness; participants also increased their consumption of protein and calories. Semi-structured interviews were conducted to investigate the self-perceived impact of the program. Thematic analysis of the interviews revealed that meal recipients perceive that food recovery-meal delivery programs may improve their nutrition health, food security, and well-being."", ""BACKGROUND: There is a lack of a valid and reliable instrument that measures objective and subjective knowledge of evidence-based dietetic practices (EBDP) among registered dietitian nutritionists (RDNs). The present study aimed to develop and assess the validity and reliability of an EBDP Questionnaire (EBDPQ) with objective knowledge items (i.e., quiz items) among RDNs in the USA.\r\nMETHODS: Subscales from four existing evidence-based practice (EBP) instruments were combined and modified for dietetics. Content and face validity and internal consistency were used to assess the full survey. Survey responsiveness and test-retest reliability were evaluated within the objective knowledge subscale. Content experts (n\u2009=\u200911) and nutrition professionals (n\u2009=\u200916) completed validation reviews. Doctoral students enrolled in a research course (n\u2009=\u200912) were used to analyse survey responsiveness. Internal and test-retest relability analyses utilised RDN participants (time point 1, n\u2009=\u2009482; time point 2, n\u2009=\u2009335).\r\nRESULTS: Content validation resulted in a 38-item questionnaire. Average percent agreement among face validity reviewers was 95.1%. Only the pre-validation version of the objective knowledge subscale resulted in significantly higher post-course scores (Mdn\u2009=\u200911.50) compared to the pre-course (Mdn\u2009=\u20099.75, p\u2009=\u20090.05). The validated instrument had excellent internal consistency (Cronbach's α\u2009=\u20090.91); however, the objective knowledge subscale was low (Cronbach's α\u2009=\u20090.41). A good degree of reliability was found between the two time points (intraclass correlation coefficient\u2009=\u20090.71).\r\nCONCLUSIONS: The EBDPQ demonstrated adequate validity and reliability among RDNs. Future research should assess construct validity, with the responsiveness and objective knowledge subscale requiring additional evaluation through an EBDP course."", ""AIMS: There is a lack of research assessing perceived and actual evidence-based dietetics practice knowledge among registered dietitian nutritionists. This cross-sectional research examined the association between determinant factors (i.e., education attainment) and objective knowledge (i.e., quiz items) of evidence-based dietetics practices. Other determinant factors associated with perceived knowledge and skill, attitudes, behaviours and outcomes related to evidence-based dietetics practice were also assessed. Perceived knowledge items were compared to objective knowledge items to evaluate the accuracy of self-assessed evidence-based dietetics practice knowledge among dietitians in the United States.\r\nMETHODS: A modified and adapted evidence-based practice survey was emailed to registered dietitian nutritionists in the United States via the Commission on Dietetic Registration database between November and December 2020. Analysis of variance assessed the relationship between highest degree held and actual knowledge of evidence-based dietetics practices. Multiple linear regression and ordinal logistic regression determined participant-level characteristics associated with survey subscales and survey items, respectively. Pearson's correlation coefficient evaluated the relationship between subjective and objective items.\r\nRESULTS: Four hundred and eighty-two dietitians completed the survey. Each increase in degree type was associated with an increase in objective knowledge score (all comparisons p\u2009<\u20090.001). Other determinants included recency of degree completion and peer-reviewed publications. Moderate positive associations (r\xa0=\xa00.35, p\u2009<\u20090.001) were found between subjective and objective measures.\r\nCONCLUSION: Graduate-level education, recency of degree completion and peer-reviewed publications were supportive of evidence-based dietetics practice-related outcomes. Future research should evaluate the efficacy of training, particularly among those further from their highest completed degree."", 'Dietitians are responsible for using evidence-based practice to mitigate the effects of obesity; however, it is unclear how dietitians use research to guide weight management interventions. The aim of this pilot study was to identify the barriers of research utilization and implementation of evidence-based practice in adult weight management. A survey was disseminated to dietitians working at least part-time with people with obesity. Dietitians seem to value research and evidence-based practice; however, implementation may be an issue. The pilot study found that workplace setting may provide a barrier to research utilization, but dietitian opinion of current screening and referral guidelines may also be a significant barrier to implementing best practices in adult weight management.', 'BACKGROUND AND OBJECTIVES: Food insecurity is considered an increasing public health problem worldwide with adverse effects, especially among older adults. Although the literature related to food insecurity among older adults in low- and middle-income countries (LMIC) is expanding, little is known about existing patterns and knowledge gaps in these settings. This scoping review aims to provide a comprehensive overview of the current research related to food insecurity among older adults in LMIC.\r\nRESEARCH DESIGN AND METHODS: A systematic search was conducted in November 2021 and revised in July 2022 on six databases using terms related to food insecurity and older adults. Data were extracted and the emerging themes from the main findings were summarized using a Social-Ecological Model (SEM).\r\nRESULTS: Forty-one studies met the inclusion criteria. Almost half (48.8%) were published in the last two years and utilized a quantitative approach (n=38). Only one study was conducted in a low-income country. Using the SEM, most studies included in this review focused on addressing the relationship between food insecurity with intrapersonal factors.\r\nDISCUSSION AND IMPLICATIONS: Several gaps in the current literature were identified. There is a lack of longitudinal and qualitative studies available on this topic. Also, only fifteen LMIC were represented in the literature. A critical point in this review is that only a few studies addressed the relationship between food insecurity and the policy/social structure, institutional, community and interpersonal levels. These identified gaps can serve as a guide for future research on this topic.']"
ur.01110613476.83,"Arikawa, Andrea",ur.011252000536.58,"Hicks-Roof, Kristen",UNF,UNF,['pub.1146384767'],['Instructor and Student Perceptions of Teacher Empathy in Higher Education'],"['Empathy is recognized as the ability to relate emotionally to an experience or another person’s emotions. Evidence supports the notion that students learn better and have greater positive perceptions when instructors display empathetic values and seek more meaningful relationships with their students. The purpose of this study was to assess instructor self-reported empathy and students’ perceptions of instructor empathy, using the Toronto Empathy Questionnaire (TEQ) and a newly developed Instructor Empathy Practices questionnaire (IEP7), among a convenience sample from a public university. This convergent mixed-methods study consisted of a cross-sectional survey sent to both students and instructors and focus groups conducted with students. A total of 168 students and 68 faculty members completed the survey and 19 students participated in the focus groups. Contextual factors such as race (p = 0.036), classification (p = 0.003) and GPA (p = 0.028) played significant roles in student empathy scores. Among instructors, only total student enrollment (p = 0.028) had an association with teacher empathy. Focus groups revealed themes related to recognizing empathy including understanding its definition, instructional techniques, perception in relation to class motivation, and importance. This study was the first to employ a convergent study design to assess and better characterize empathy from both instructors’ and students’ perspectives.']"
ur.01110613476.83,"Arikawa, Andrea",ur.015043716424.49,"Van Horn, Leslie Thompson",UNF,UNF,"['pub.1147495410', 'pub.1151572301', 'pub.1152312344']","['Validity and reliability of a questionnaire measuring EBDPs among registered dietitian nutritionist', 'Determinant factors associated with the use of evidence‐based dietetics practice among registered dietitian nutritionists', 'Food insecurity among older adults living in low- and middle-income countries: a scoping review.']","[""BACKGROUND: There is a lack of a valid and reliable instrument that measures objective and subjective knowledge of evidence-based dietetic practices (EBDP) among registered dietitian nutritionists (RDNs). The present study aimed to develop and assess the validity and reliability of an EBDP Questionnaire (EBDPQ) with objective knowledge items (i.e., quiz items) among RDNs in the USA.\r\nMETHODS: Subscales from four existing evidence-based practice (EBP) instruments were combined and modified for dietetics. Content and face validity and internal consistency were used to assess the full survey. Survey responsiveness and test-retest reliability were evaluated within the objective knowledge subscale. Content experts (n\u2009=\u200911) and nutrition professionals (n\u2009=\u200916) completed validation reviews. Doctoral students enrolled in a research course (n\u2009=\u200912) were used to analyse survey responsiveness. Internal and test-retest relability analyses utilised RDN participants (time point 1, n\u2009=\u2009482; time point 2, n\u2009=\u2009335).\r\nRESULTS: Content validation resulted in a 38-item questionnaire. Average percent agreement among face validity reviewers was 95.1%. Only the pre-validation version of the objective knowledge subscale resulted in significantly higher post-course scores (Mdn\u2009=\u200911.50) compared to the pre-course (Mdn\u2009=\u20099.75, p\u2009=\u20090.05). The validated instrument had excellent internal consistency (Cronbach's α\u2009=\u20090.91); however, the objective knowledge subscale was low (Cronbach's α\u2009=\u20090.41). A good degree of reliability was found between the two time points (intraclass correlation coefficient\u2009=\u20090.71).\r\nCONCLUSIONS: The EBDPQ demonstrated adequate validity and reliability among RDNs. Future research should assess construct validity, with the responsiveness and objective knowledge subscale requiring additional evaluation through an EBDP course."", ""AIMS: There is a lack of research assessing perceived and actual evidence-based dietetics practice knowledge among registered dietitian nutritionists. This cross-sectional research examined the association between determinant factors (i.e., education attainment) and objective knowledge (i.e., quiz items) of evidence-based dietetics practices. Other determinant factors associated with perceived knowledge and skill, attitudes, behaviours and outcomes related to evidence-based dietetics practice were also assessed. Perceived knowledge items were compared to objective knowledge items to evaluate the accuracy of self-assessed evidence-based dietetics practice knowledge among dietitians in the United States.\r\nMETHODS: A modified and adapted evidence-based practice survey was emailed to registered dietitian nutritionists in the United States via the Commission on Dietetic Registration database between November and December 2020. Analysis of variance assessed the relationship between highest degree held and actual knowledge of evidence-based dietetics practices. Multiple linear regression and ordinal logistic regression determined participant-level characteristics associated with survey subscales and survey items, respectively. Pearson's correlation coefficient evaluated the relationship between subjective and objective items.\r\nRESULTS: Four hundred and eighty-two dietitians completed the survey. Each increase in degree type was associated with an increase in objective knowledge score (all comparisons p\u2009<\u20090.001). Other determinants included recency of degree completion and peer-reviewed publications. Moderate positive associations (r\xa0=\xa00.35, p\u2009<\u20090.001) were found between subjective and objective measures.\r\nCONCLUSION: Graduate-level education, recency of degree completion and peer-reviewed publications were supportive of evidence-based dietetics practice-related outcomes. Future research should evaluate the efficacy of training, particularly among those further from their highest completed degree."", 'BACKGROUND AND OBJECTIVES: Food insecurity is considered an increasing public health problem worldwide with adverse effects, especially among older adults. Although the literature related to food insecurity among older adults in low- and middle-income countries (LMIC) is expanding, little is known about existing patterns and knowledge gaps in these settings. This scoping review aims to provide a comprehensive overview of the current research related to food insecurity among older adults in LMIC.\r\nRESEARCH DESIGN AND METHODS: A systematic search was conducted in November 2021 and revised in July 2022 on six databases using terms related to food insecurity and older adults. Data were extracted and the emerging themes from the main findings were summarized using a Social-Ecological Model (SEM).\r\nRESULTS: Forty-one studies met the inclusion criteria. Almost half (48.8%) were published in the last two years and utilized a quantitative approach (n=38). Only one study was conducted in a low-income country. Using the SEM, most studies included in this review focused on addressing the relationship between food insecurity with intrapersonal factors.\r\nDISCUSSION AND IMPLICATIONS: Several gaps in the current literature were identified. There is a lack of longitudinal and qualitative studies available on this topic. Also, only fifteen LMIC were represented in the literature. A critical point in this review is that only a few studies addressed the relationship between food insecurity and the policy/social structure, institutional, community and interpersonal levels. These identified gaps can serve as a guide for future research on this topic.']"
ur.01110613476.83,"Arikawa, Andrea",ur.01213347266.19,"Sealey‐Potts, Claudia",UNF,UNF,"['pub.1147495410', 'pub.1151572301']","['Validity and reliability of a questionnaire measuring EBDPs among registered dietitian nutritionist', 'Determinant factors associated with the use of evidence‐based dietetics practice among registered dietitian nutritionists']","[""BACKGROUND: There is a lack of a valid and reliable instrument that measures objective and subjective knowledge of evidence-based dietetic practices (EBDP) among registered dietitian nutritionists (RDNs). The present study aimed to develop and assess the validity and reliability of an EBDP Questionnaire (EBDPQ) with objective knowledge items (i.e., quiz items) among RDNs in the USA.\r\nMETHODS: Subscales from four existing evidence-based practice (EBP) instruments were combined and modified for dietetics. Content and face validity and internal consistency were used to assess the full survey. Survey responsiveness and test-retest reliability were evaluated within the objective knowledge subscale. Content experts (n\u2009=\u200911) and nutrition professionals (n\u2009=\u200916) completed validation reviews. Doctoral students enrolled in a research course (n\u2009=\u200912) were used to analyse survey responsiveness. Internal and test-retest relability analyses utilised RDN participants (time point 1, n\u2009=\u2009482; time point 2, n\u2009=\u2009335).\r\nRESULTS: Content validation resulted in a 38-item questionnaire. Average percent agreement among face validity reviewers was 95.1%. Only the pre-validation version of the objective knowledge subscale resulted in significantly higher post-course scores (Mdn\u2009=\u200911.50) compared to the pre-course (Mdn\u2009=\u20099.75, p\u2009=\u20090.05). The validated instrument had excellent internal consistency (Cronbach's α\u2009=\u20090.91); however, the objective knowledge subscale was low (Cronbach's α\u2009=\u20090.41). A good degree of reliability was found between the two time points (intraclass correlation coefficient\u2009=\u20090.71).\r\nCONCLUSIONS: The EBDPQ demonstrated adequate validity and reliability among RDNs. Future research should assess construct validity, with the responsiveness and objective knowledge subscale requiring additional evaluation through an EBDP course."", ""AIMS: There is a lack of research assessing perceived and actual evidence-based dietetics practice knowledge among registered dietitian nutritionists. This cross-sectional research examined the association between determinant factors (i.e., education attainment) and objective knowledge (i.e., quiz items) of evidence-based dietetics practices. Other determinant factors associated with perceived knowledge and skill, attitudes, behaviours and outcomes related to evidence-based dietetics practice were also assessed. Perceived knowledge items were compared to objective knowledge items to evaluate the accuracy of self-assessed evidence-based dietetics practice knowledge among dietitians in the United States.\r\nMETHODS: A modified and adapted evidence-based practice survey was emailed to registered dietitian nutritionists in the United States via the Commission on Dietetic Registration database between November and December 2020. Analysis of variance assessed the relationship between highest degree held and actual knowledge of evidence-based dietetics practices. Multiple linear regression and ordinal logistic regression determined participant-level characteristics associated with survey subscales and survey items, respectively. Pearson's correlation coefficient evaluated the relationship between subjective and objective items.\r\nRESULTS: Four hundred and eighty-two dietitians completed the survey. Each increase in degree type was associated with an increase in objective knowledge score (all comparisons p\u2009<\u20090.001). Other determinants included recency of degree completion and peer-reviewed publications. Moderate positive associations (r\xa0=\xa00.35, p\u2009<\u20090.001) were found between subjective and objective measures.\r\nCONCLUSION: Graduate-level education, recency of degree completion and peer-reviewed publications were supportive of evidence-based dietetics practice-related outcomes. Future research should evaluate the efficacy of training, particularly among those further from their highest completed degree.""]"
ur.01110613476.83,"Arikawa, Andrea",ur.01302000265.19,"Hamadi, Hanadi",UNF,UNF,['pub.1151572301'],['Determinant factors associated with the use of evidence‐based dietetics practice among registered dietitian nutritionists'],"[""AIMS: There is a lack of research assessing perceived and actual evidence-based dietetics practice knowledge among registered dietitian nutritionists. This cross-sectional research examined the association between determinant factors (i.e., education attainment) and objective knowledge (i.e., quiz items) of evidence-based dietetics practices. Other determinant factors associated with perceived knowledge and skill, attitudes, behaviours and outcomes related to evidence-based dietetics practice were also assessed. Perceived knowledge items were compared to objective knowledge items to evaluate the accuracy of self-assessed evidence-based dietetics practice knowledge among dietitians in the United States.\r\nMETHODS: A modified and adapted evidence-based practice survey was emailed to registered dietitian nutritionists in the United States via the Commission on Dietetic Registration database between November and December 2020. Analysis of variance assessed the relationship between highest degree held and actual knowledge of evidence-based dietetics practices. Multiple linear regression and ordinal logistic regression determined participant-level characteristics associated with survey subscales and survey items, respectively. Pearson's correlation coefficient evaluated the relationship between subjective and objective items.\r\nRESULTS: Four hundred and eighty-two dietitians completed the survey. Each increase in degree type was associated with an increase in objective knowledge score (all comparisons p\u2009<\u20090.001). Other determinants included recency of degree completion and peer-reviewed publications. Moderate positive associations (r\xa0=\xa00.35, p\u2009<\u20090.001) were found between subjective and objective measures.\r\nCONCLUSION: Graduate-level education, recency of degree completion and peer-reviewed publications were supportive of evidence-based dietetics practice-related outcomes. Future research should evaluate the efficacy of training, particularly among those further from their highest completed degree.""]"
ur.01110613476.83,"Arikawa, Andrea",ur.013621327420.63,"Galena, Amy E.",UNF,UNF,['pub.1151600442'],['The effects of fermented vegetable consumption on the composition of the intestinal microbiota and levels of inflammatory markers in women: A pilot and feasibility study'],"[""The primary objective of this pilot study was to investigate the feasibility of regular consumption of fermented vegetables for six weeks on markers of inflammation and the composition of the gut microflora in women (clinical trials ID: NTC03407794). Thirty-one women were randomized into one of three groups: 100 g/day of fermented vegetables (group A), 100 g/day pickled vegetables (group B), or no vegetables (group C) for six weeks. Dietary intake was assessed by a food frequency questionnaire and blood and stool samples were provided before and after the intervention for measurement of C-reactive protein (CRP), tumor necrosis factor alpha (TNF-α), and lipopolysaccharide binding protein (LBP). Next-generation sequencing of the V4 region of the 16S rRNA gene was performed on the Illumina MiSeq platform. Participants' ages ranged between 18 and 69 years. Both groups A and B had a mean daily consumption of 91g of vegetables for 32 and 36 days, respectively. Serum CRP ranged between 0.9 and 265 ng/mL (SD = 92.4) at baseline, while TNF-α and LBP concentrations ranged between 0 and 9 pg/mL (SD = 2.3), and 7 and 29 μg/mL (SD = 4.4), respectively. There were no significant changes in levels of inflammatory markers among groups. At timepoint 2, group A showed an increase in Faecalibacterium prausnitzii (P = 0.022), a decrease in Ruminococcus torques (P<0.05), and a trend towards greater alpha diversity measured by the Shannon index (P = 0.074). The findings indicate that consumption of ~100 g/day of fermented vegetables for six weeks is feasible and may result in beneficial changes in the composition of the gut microbiota. Future trials should determine whether consumption of fermented vegetables is an effective strategy against gut dysbiosis.""]"
ur.01110613476.83,"Arikawa, Andrea",ur.01134664434.25,"Jahan-Mihan, Alireza",UNF,UNF,['pub.1151600442'],['The effects of fermented vegetable consumption on the composition of the intestinal microbiota and levels of inflammatory markers in women: A pilot and feasibility study'],"[""The primary objective of this pilot study was to investigate the feasibility of regular consumption of fermented vegetables for six weeks on markers of inflammation and the composition of the gut microflora in women (clinical trials ID: NTC03407794). Thirty-one women were randomized into one of three groups: 100 g/day of fermented vegetables (group A), 100 g/day pickled vegetables (group B), or no vegetables (group C) for six weeks. Dietary intake was assessed by a food frequency questionnaire and blood and stool samples were provided before and after the intervention for measurement of C-reactive protein (CRP), tumor necrosis factor alpha (TNF-α), and lipopolysaccharide binding protein (LBP). Next-generation sequencing of the V4 region of the 16S rRNA gene was performed on the Illumina MiSeq platform. Participants' ages ranged between 18 and 69 years. Both groups A and B had a mean daily consumption of 91g of vegetables for 32 and 36 days, respectively. Serum CRP ranged between 0.9 and 265 ng/mL (SD = 92.4) at baseline, while TNF-α and LBP concentrations ranged between 0 and 9 pg/mL (SD = 2.3), and 7 and 29 μg/mL (SD = 4.4), respectively. There were no significant changes in levels of inflammatory markers among groups. At timepoint 2, group A showed an increase in Faecalibacterium prausnitzii (P = 0.022), a decrease in Ruminococcus torques (P<0.05), and a trend towards greater alpha diversity measured by the Shannon index (P = 0.074). The findings indicate that consumption of ~100 g/day of fermented vegetables for six weeks is feasible and may result in beneficial changes in the composition of the gut microbiota. Future trials should determine whether consumption of fermented vegetables is an effective strategy against gut dysbiosis.""]"
