xid,researcher_id,affiliations,full_name,Area,title,abstract
pub.1145406671,ur.07751223043.07,UNF,"Zhang, Zuopeng","Commerce, Management, Tourism and Services",Exploring the Risks of International SupplyChain Financial Warehouse Receipts Pledge Model: A Structural Equation Approach,
pub.1145494763,ur.011416214620.82,UNF,"Goel, Lakshmi",Information and Computing Sciences,Researching digitalized work arrangements: A Laws of Form perspective,"Advances in digitalization have changed our apprehension of technology from discrete devices and application software as bounded artifacts, to dynamically evolving social-material entanglements in Digitalized Work Arrangements (DWA). This development makes studying DWAs increasingly difficult and challenges us to advance our methods that define how we can study, observe, and conceptualize DWAs. In this essay, we draw on the mathematical-logical formalism of the Laws of Form (LoF) (Spencer-Brown, 1969) to analyze how six illustrative IS studies conceptualize the social and the material to arrive at distinct perspectives on DWAs. Our analysis reveals three archetypes that capture these studies' conceptualizations and that inform a discussion of how IS research can extend qualitative methods beyond those six works. We offer two contributions. First, we provide novel insights and explanations to key conceptualizations in the study of DWAs. Second, we present the LoF as a pre-ontological and pre-theoretical formalism that enables commensurability of methods and development of novel qualitative empirical methods. Specifically, we demonstrate how the formalism helps articulating the distinctions we draw to refine our object of study and to critically examine and reconstruct other researchers' reasoning."
pub.1145515568,ur.0730275122.15,UNF,"Osterbrink, Jürgen",Health Sciences,"Delirium on stroke units: a prospective, multicentric quality-improvement project","BackgroundPost-stroke delirium (POD) in patients on stroke units (SU) is associated with an increased risk for complications and poorer clinical outcome. The objective was to reduce the severity of POD by implementing an interprofessional delirium-management.MethodsMulticentric quality-improvement project on five SU implementing a delirium-management with pre/post-comparison. Primary outcome was severity of POD, assessed with the Nursing Delirium Screening Scale (Nu-DESC). Secondary outcome parameters were POD incidence, duration, modified Rankin Scale (mRS), length of stay in SU and hospital, mortality, and others.ResultsOut of a total of 799 patients, 59.4% (n = 475) could be included with 9.5% (n = 45) being delirious. Implementation of a delirium-management led to reduced POD severity; Nu-DESC median: pre: 3.5 (interquartile range 2.6–4.7) vs. post 3.0 (2.2–4.0), albeit not significant (p = 0.154). Other outcome parameters were not meaningful different. In the post-period, delirium-management could be delivered to 75% (n = 18) of delirious patients, and only 24 (53.3%) of delirious patients required pharmacological treatments. Patients with a more severe stroke and POD remained on their disability levels, compared to similar affected, non-delirious patients who improved.ConclusionsImplementation of delirium-management on SU is feasible and can be delivered to most patients, but with limited effects. Nursing interventions as first choice could be delivered to the majority of patients, and only the half required pharmacological treatments. Delirium-management may lead to reduced severity of POD but had only partial effects on duration of POD or length of stay. POD hampers rehabilitation, especially in patients with more severe stroke.RegistryDRKS, DRKS00021436. Registered 04/17/2020, www.drks.de/DRKS00021436."
pub.1145659717,ur.014752267345.98,UNF,"Kunz, Nathan",Human Society,A systematic review of humanitarian supply chains performance measurement literature from 2007 to 2021,"Performance measurement has been an integral component of decision-making concerning the efficiency, effectiveness, and transparency of disaster relief operations. Recently, there has been an increasing amount of research in humanitarian relief supply chain performance measurement, which necessitates a thorough analysis of recent developments. To this end, this paper provides a systematic review of humanitarian supply chain performance measurement studies, through a categorical analysis of research articles. The authors identified and categorized research articles according to seven structural dimensions: disaster type, context of operation, disaster management phase, data analysis technique, level of analysis, performance measurement system development process, and performance measurement theme. This review intends to link the trends and theories in the broader body of performance measurement to the specific issues encountered in humanitarian supply chain performance measurement. A systematic literature review was developed by employing the Preferred Reporting Items for Systematic Reviews and Meta-Analysis methodology. The authors identified and reviewed 83 peer-reviewed journal articles that have appeared since 2007, the year in which the first journal article on humanitarian supply chain performance measurement was published. The review reveals that while there is a growing literature on humanitarian supply chain performance measurement, there is limited empirical evidence about performance measurement system implementation. This paper identifies two key research streams: contextual-based performance measurement and simulation and predictive performance measurement. This review contributes to theory by developing detailed categories of performance measurement studies and future research directions. The results are limited to peer-reviewed journals focusing on supply chain and operations management literature, and hence do not cover the literature from humanitarian organizations technical reports, independent evaluations and other academic fields such as organizational studies or accounting literature."
pub.1145662684,ur.010124704235.23,UNF,"Kanewala, Upulee",Information and Computing Sciences,Metamorphic relation prioritization for effective regression testing,"Summary Metamorphic testing (MT) is widely used for testing programs that face the oracle problem. It uses a set of metamorphic relations (MRs), which are relations among multiple inputs and their corresponding outputs to determine whether the program under test is faulty. Typically, MRs vary in their ability to detect faults in the program under test, and some MRs tend to detect the same set of faults. In this paper, we propose approaches to prioritize MRs to improve the efficiency and effectiveness of MT for regression testing. We present two MR prioritization approaches: (i) fault‐based and (ii) coverage‐based. To evaluate these MR prioritization approaches, we conduct experiments on three complex open‐source software systems. Our results show that the MR prioritization approaches developed by us significantly outperform the current practice of executing the source and follow‐up test cases of the MRs in an ad‐hoc manner in terms of fault detection effectiveness. Further, fault‐based MR prioritization leads to reducing the number of source and follow‐up test cases that needs to be executed as well as reducing the average time taken to detect a fault, which would result in saving time and cost during the testing process."
pub.1145697312,ur.014243412173.03,UNF,"Ross, Jenifer M.",Biomedical and Clinical Sciences,"The Impact of a Food Recovery-Meal Delivery Program on Homebound Seniors’ Food Security, Nutrition, and Well-Being","Food insecurity is a growing problem among seniors. A novel program was established to help mitigate the problem of food insecurity among seniors who are homebound. Volunteers recover unused prepared food donated by area hospitals, repack it into healthy meals which are delivered to program participants. To evaluate the impact of our intervention, seniors' nutritional health and social well-being were measured at enrollment and after three to five months using the following: Mini Nutritional Assessment Short Form (MNA-SF), 24-hour recall, USDA 6-Item Food Security Survey, WHO-5 Well-Being Index, and the 3-Item Loneliness Scale. Statistical analysis indicated a significant improvement in nutritional health, well-being, and loneliness; participants also increased their consumption of protein and calories. Semi-structured interviews were conducted to investigate the self-perceived impact of the program. Thematic analysis of the interviews revealed that meal recipients perceive that food recovery-meal delivery programs may improve their nutrition health, food security, and well-being."
pub.1145697312,ur.01025441731.01,UNF,"Wright, Lauri",Biomedical and Clinical Sciences,"The Impact of a Food Recovery-Meal Delivery Program on Homebound Seniors’ Food Security, Nutrition, and Well-Being","Food insecurity is a growing problem among seniors. A novel program was established to help mitigate the problem of food insecurity among seniors who are homebound. Volunteers recover unused prepared food donated by area hospitals, repack it into healthy meals which are delivered to program participants. To evaluate the impact of our intervention, seniors' nutritional health and social well-being were measured at enrollment and after three to five months using the following: Mini Nutritional Assessment Short Form (MNA-SF), 24-hour recall, USDA 6-Item Food Security Survey, WHO-5 Well-Being Index, and the 3-Item Loneliness Scale. Statistical analysis indicated a significant improvement in nutritional health, well-being, and loneliness; participants also increased their consumption of protein and calories. Semi-structured interviews were conducted to investigate the self-perceived impact of the program. Thematic analysis of the interviews revealed that meal recipients perceive that food recovery-meal delivery programs may improve their nutrition health, food security, and well-being."
pub.1145697312,ur.01110613476.83,UNF,"Arikawa, Andrea",Biomedical and Clinical Sciences,"The Impact of a Food Recovery-Meal Delivery Program on Homebound Seniors’ Food Security, Nutrition, and Well-Being","Food insecurity is a growing problem among seniors. A novel program was established to help mitigate the problem of food insecurity among seniors who are homebound. Volunteers recover unused prepared food donated by area hospitals, repack it into healthy meals which are delivered to program participants. To evaluate the impact of our intervention, seniors' nutritional health and social well-being were measured at enrollment and after three to five months using the following: Mini Nutritional Assessment Short Form (MNA-SF), 24-hour recall, USDA 6-Item Food Security Survey, WHO-5 Well-Being Index, and the 3-Item Loneliness Scale. Statistical analysis indicated a significant improvement in nutritional health, well-being, and loneliness; participants also increased their consumption of protein and calories. Semi-structured interviews were conducted to investigate the self-perceived impact of the program. Thematic analysis of the interviews revealed that meal recipients perceive that food recovery-meal delivery programs may improve their nutrition health, food security, and well-being."
pub.1145700157,ur.01361405744.81,UNF,"Talwar, Devki N.",Physical Sciences,"Impact of stacking sequence on the tight-binding electronic band structures of (BeX)m/(ZnX)m, X  = S, Se and Te superlattices","By using a semi-empirical tight-binding sp3s* method, the results of comprehensive electronic band structures are reported for the zinc-blende beryllium- and zinc-chalcogenides (BeX and ZnX; X  = S, Se, Te) as well as their representative (BeX)m/(ZnX)m (001) superlattices (SLs). For the bulk BeX and ZnX materials, the simulations of energy band dispersions E j k → have offered the correct band gaps in very good agreement with the first-principles calculations. The band-mixing effect through the interfaces of two constituent compounds (BeX indirect- and ZnX direct-band gap) has played an important role for determining the overall band lineup in the (BeX)m /(ZnX)m SLs over the entire Brillouin zone. Based on the quantum confinement effects, the impact of stacking sequence m ≤ 10 is carefully examined for assessing the band structures of SLs. The results have clearly revealed that the nature of energy bandgaps is quite sensitive to the choice of well (BeX) and barrier (ZnX) layer thickness. Obviously, this intuition has implied that controlling m to achieve direct bandgaps in novel (BeX)m/(ZnX)m SLs is probably an effective way of assessing their potential use in technologically important optoelectronic devices."
pub.1145712927,ur.01241070314.05,UNF,"Wynn, Richmond D.",,Mental Health and Resilience Among LGBTQ+ College Students with Disabilities,
pub.1145770394,ur.013357234557.87,UNF,"Dedrick, Ashley",Health Sciences,Content Analysis of Skin Cancer Screenings on Pinterest: An Exploratory Study,"Skin cancer rates are rising in the United States, yet screening rates remain low. Meanwhile, social media has evolved to become a primary source of health information, with 40% of daily users of Pinterest reporting the platform as a ""go-to"" source. The objective of this research paper is to examine how skin cancer screenings were portrayed on Pinterest. Using the search terms ""skin cancer screening"" and ""skin cancer exam"", researchers sampled every fifth pin to collect 274 relevant pins. Two researchers coded the pins, and interrater agreement was established at 94%. The results showed that twenty-two percent of the sample depicted skin cancer screening in a negative way, yet 41.5% noted that early detection leads to better outcomes. The pins were geared toward younger, white women with minimal depiction of people of color. Few pins included comprehensive information about skin cancer risk factors, importance of routine self-screenings, or what to expect with a medical provider. Fifty-eight percent of pins included links to personal blogs. In conclusion, social media has become a powerful source of health information, yet much of the posted information is incomplete. These findings present public health experts with an opportunity to disseminate more comprehensive skin cancer screening information on social media."
pub.1145770394,ur.0640163054.49,UNF,"Merten, Julie",Health Sciences,Content Analysis of Skin Cancer Screenings on Pinterest: An Exploratory Study,"Skin cancer rates are rising in the United States, yet screening rates remain low. Meanwhile, social media has evolved to become a primary source of health information, with 40% of daily users of Pinterest reporting the platform as a ""go-to"" source. The objective of this research paper is to examine how skin cancer screenings were portrayed on Pinterest. Using the search terms ""skin cancer screening"" and ""skin cancer exam"", researchers sampled every fifth pin to collect 274 relevant pins. Two researchers coded the pins, and interrater agreement was established at 94%. The results showed that twenty-two percent of the sample depicted skin cancer screening in a negative way, yet 41.5% noted that early detection leads to better outcomes. The pins were geared toward younger, white women with minimal depiction of people of color. Few pins included comprehensive information about skin cancer risk factors, importance of routine self-screenings, or what to expect with a medical provider. Fifty-eight percent of pins included links to personal blogs. In conclusion, social media has become a powerful source of health information, yet much of the posted information is incomplete. These findings present public health experts with an opportunity to disseminate more comprehensive skin cancer screening information on social media."
pub.1145778415,ur.01076707606.12,UNF,"Zavodny, Madeline",Economics,Does immigration enforcement affect where less‐educated US natives and Hispanic immigrants live?,"Abstract  Previous research shows that unauthorized Hispanic immigrants are less likely to live in areas that implement tough immigration enforcement policies. Less is known about whether such policies affect where US citizens live. We examine whether implementation of employment‐ and police‐based enforcement measures affected less‐educated US citizens' and unauthorized Hispanic immigrants' interstate mobility during 2006–2018. The results indicate that Hispanic US citizens are repelled from states with police‐based enforcement, with the impact on inflows versus outflows depending on whether they are married to an unauthorized immigrant. White and Black US natives' mobility tends to respond less to enforcement measures. The data that support the findings of this study are openly available in OpenICPSR at https://doi.org/10.3886/E158681V1 . These data were derived from the following resources available in the public domain: IPUMS USA at https://doi.org/10.18128/D010.V11.0 . "
pub.1145785878,ur.013733572521.84,UNF,"Bull, Katryne Lukens",Biomedical and Clinical Sciences,Incorporating Black women’s perspectives into long-acting reversible contraception implementation,"Objective: To study urban, predominantly Black women's expressed opinions and beliefs related to the use of contraceptives to better inform implementation strategies designed to increase the use of highly effective contraceptives among minoritized and low-income women.
Design: Focus group interviews with women, in conjunction with a community-based organization providing programs for underserved women with a mission of improved women and infant health.
Setting: Focus groups were conducted, and women were recruited from clinical sites in predominantly African American urban neighborhoods in a southeastern US city.
Patients: Self-identified 18-35-year-old women recruited from clinical sites in the urban core of the city with an 80% African American population.
Interventions: No interventions tested<b>.</b>
Main Outcome Measures: Black women's opinions and concerns about contraception.
Results: Key insights from the focus group results for healthcare providers include the following: the importance of framing discussions with patients within the context of the patients' goals; need to acknowledge and respect the support systems that women rely on for child birthing and childcare; recognition of the clinician's role as a trusted and respected source of information; and need to understand and be prepared to address much of the inaccurate and misleading information that can interfere with the patients' optimal choices for contraception.
Conclusions: A critical component for applying the implementation science theory to increase the use of evidence-based practices, such as implementation of highly effective contraceptives, requires understanding women's perspectives of the factors influencing their decisions to use highly effective contraceptives. This study provides important insights into the following: the potential barriers inherent in minoritized women's concerns about contraceptives and how these insights can inform implementation strategies such as patient-centered counseling and education to overcome those barriers."
pub.1145812996,ur.010207033721.05,UNF,"Heng, Fei",Biomedical and Clinical Sciences,"Estimation of conditional cumulative incidence functions under generalized semiparametric regression models with missing covariates, with application to analysis of biomarker correlates in vaccine trials",This article studies generalized semiparametric regression models for conditional cumulative incidence functions with competing risks data when covariates are missing by sampling design or happenstance. A doubly-robust augmented inverse probability weighted complete-case (AIPW) approach to estimation and inference is investigated. This approach modifies IPW complete-case estimating equations by exploiting the key features in the relationship between the missing covariates and the phase-one data to improve efficiency. An iterative numerical procedure is derived to solve the nonlinear estimating equations. The asymptotic properties of the proposed estimators are established. A simulation study examining the finite-sample performances of the proposed estimators shows that the AIPW estimators are more efficient than the IPW estimators. The developed method is applied to the RV144 HIV-1 vaccine efficacy trial to investigate vaccine-induced IgG binding antibodies to HIV-1 as correlates of acquisition of HIV-1 infection while taking account of whether the HIV-1 sequences are near or far from the HIV-1 sequences represented in the vaccine construct.
pub.1145814923,ur.010425511525.83,UNF,"Williams, Cynthia",Biomedical and Clinical Sciences,Demographics and surgery-related complications lead to 30-day readmission rates among knee arthroscopic procedures,"PurposeThe study objectives were (1) to evaluate risk factors related to 30-day hospital readmissions after arthroscopic knee surgeries and (2) to determine the complications that may arise from surgery.MethodsThe American College of Surgeons National Surgical Quality Improvement Program database data from 2012 to 2017 were researched. Patients were identified using Current Procedural Terminology codes for knee arthroscopic procedures. Ordinal logistic fit regression and decision tree analysis were used to examine study objectives.ResultsThere were 83,083 knee arthroscopic procedures between 2012 and 2017 obtained from the National Surgical Quality Improvement Program database. The overall readmission rate was 0.87%. The complication rates were highest for synovectomy and cartilage procedures, 1.6% and 1.3% respectively. A majority of readmissions were related to the procedure (71.1%) with wound complications being the primary reason (28.2%) followed by pulmonary embolism and deep vein thrombosis, 12.7% and 10.6%, respectively. Gender and body mass index were not significant factors and age over 65 years was an independent risk factor. Wound infection, deep vein thrombosis, and pulmonary embolism were the most prevalent complications.ConclusionHealthcare professionals have a unique opportunity to modify treatment plans based on patient risk factors. For patients who are at higher risk of inferior surgical outcomes, clinicians should carefully weigh risk factors when considering surgical and non-surgical approaches.Level of evidenceIII."
pub.1145814923,ur.012500267315.13,UNF,"DeDeo, Michelle",Environmental Sciences,Demographics and surgery-related complications lead to 30-day readmission rates among knee arthroscopic procedures,"PurposeThe study objectives were (1) to evaluate risk factors related to 30-day hospital readmissions after arthroscopic knee surgeries and (2) to determine the complications that may arise from surgery.MethodsThe American College of Surgeons National Surgical Quality Improvement Program database data from 2012 to 2017 were researched. Patients were identified using Current Procedural Terminology codes for knee arthroscopic procedures. Ordinal logistic fit regression and decision tree analysis were used to examine study objectives.ResultsThere were 83,083 knee arthroscopic procedures between 2012 and 2017 obtained from the National Surgical Quality Improvement Program database. The overall readmission rate was 0.87%. The complication rates were highest for synovectomy and cartilage procedures, 1.6% and 1.3% respectively. A majority of readmissions were related to the procedure (71.1%) with wound complications being the primary reason (28.2%) followed by pulmonary embolism and deep vein thrombosis, 12.7% and 10.6%, respectively. Gender and body mass index were not significant factors and age over 65 years was an independent risk factor. Wound infection, deep vein thrombosis, and pulmonary embolism were the most prevalent complications.ConclusionHealthcare professionals have a unique opportunity to modify treatment plans based on patient risk factors. For patients who are at higher risk of inferior surgical outcomes, clinicians should carefully weigh risk factors when considering surgical and non-surgical approaches.Level of evidenceIII."
pub.1145848449,ur.01164760644.22,UNF,"Loh, Chung-Ping A.",Economics,The effect of childhood left‑behind experience on individual’s income: evidence from China,"Childhood circumstances may have a long-term impact on individual life-cycle outcomes. Using data from the China Health and Nutrition Survey, we explore the long-term effect of childhood left-behind experience due to parental rural-to-urban migration. The extended regression model is employed to address the potential endogeneity of being left-behind children with an instrument variable. The results indicate that the left-behind experience in childhood leads to a significantly lower income in adulthood. Robustness checks using the probability of being relative poverty validate our findings. Mechanism analysis shows that parental migration would reduce household income per capita, childrenʻs health outcomes, and the probability of enrolling in post-compulsory education, which were the possible channels. Our analysis highlights the long-term consequences of childhood left-behind experience, which suggests the need for preventive intervention to improve the early development of left-behind children and throughout the life course."
pub.1145849996,ur.010747712675.93,UNF,"Zhang, Justin Zuopeng",Information and Computing Sciences,Green supply chain management for operational performance: anteceding impact of corporate social responsibility and moderating effects of relational capital," Purpose The paper aims to study the relationship between corporate social responsibility, green supply chain management, and operational performance and the moderating effects of relational capital on these relationships.   Design/methodology/approach The authors conduct an empirical study with a structural equation modeling approach to investigate the relationship between corporate social responsibility—constructed by the quality and environmental responsibility, green supply chain management—including green supplier and customer management and operational performance—manifested by quality, cost, flexibility, and delivery performance using data from 308 manufacturers in China. Besides, the authors explore the moderating effect of supplier and customer relational capital on these relationships.   Findings The findings indicate that a company's quality and environmental responsibility significantly impacts its green supply chain management practices, which further improve its operational performance in quality, cost, flexibility, and delivery. In addition, supplier and customer relational capital strengthens the influence of environmental responsibility on green supply chain management. While supplier relational capital reinforces the impact of green supplier management on flexibility and delivery performance, customer relational capital only strengthens the influence of green customer management on flexibility performance.   Originality/value The study enriches the extant literature by developing a holistic framework integrating corporate social responsibility, green supply chain management, relational capital, and operational performance and unraveling their intricate relationships. The authors’ findings help practitioners prioritize proactive steps in environmental conservation more than achieving operational performance. "
pub.1145899204,ur.012037154467.36,UNF,"Sardashti, Hanieh","Commerce, Management, Tourism and Services",Does equity-based compensation motivate executives to build strong brands?,"To defeat myopic brand management, we need to understand better what motivates executives to invest in brand building. Drawing from agency theory, we argue that a better alignment of executivesʻ and shareholdersʻ interests can help. Tests using longitudinal compensation data of chief executive officers (CEO) from 123 public firms suggest that decreasing the sensitivity of CEOʻs Equity-Based Compensation (EBC) to the firmʻs stock price and increasing its sensitivity to the firmʻs stock return volatility are associated with higher brand equity. Weak governance somewhat offsets these effects. Moreover, we find that the impact of EBC on brand equity is partially mediated through the firmʻs strategic emphasis. Our research highlights the importance of understanding managerial incentives as drivers of brand equity."
pub.1145978256,ur.012043417064.50,UNF,"Gray, Eve",Biological Sciences,Warming impacts on photosynthetic processes in dominant plant species in a subtropical forest,"Climate warming could shift some subtropical regions to a tropical climate in the next 30 years. Yet, climate warming impacts on subtropical species and ecosystems remain unclear. We conducted a passive warming experiment in a subtropical forest in Florida, USA, to determine warming impacts on four species differing in their climatic distribution, growth form, and functional type: Serenoa repens (palm), Andropogon glomeratus (C<sub>4</sub> grass), Pinus palustris (needled evergreen tree), and Quercus laevis (broadleaved deciduous tree). We hypothesized that warming would have neutral-positive effects on photosynthetic processes in monocot species with warmer climatic distributions or adaptations to warmer temperatures, but negative effects on photosynthesis in tree species. We also hypothesized that periods of low soil moisture would alter photosynthetic responses to warming. In both monocot species, warming had no significant effect on net photosynthesis (A) or stomatal conductance (g<sub>s</sub> ) measured at prevailing temperatures, or photosynthetic capacity measured at a common temperature. In P. palustris, warming reduced A (-15%) and g<sub>s</sub> (-28%), and caused small reductions in Rubisco carboxylation and RuBP regeneration. Warming had little effect on photosynthetic processes in Q. laevis. Interestingly, A. glomeratus showed little sensitivity to reduced soil moisture, and all C<sub>3</sub> species reduced A and g<sub>s</sub> as soil moisture declined and did so consistently across temperature treatments. In subtropical forests of the southeastern US, we conclude that climate warming may have neutral or slightly positive effects on the performance of grasses and broadleaved species but negative effects on P. palustris seedlings, foreshadowing possible changes in community and ecosystem properties."
pub.1145978256,ur.01343071750.63,UNF,"Aspinwall, Michael J.",Biological Sciences,Warming impacts on photosynthetic processes in dominant plant species in a subtropical forest,"Climate warming could shift some subtropical regions to a tropical climate in the next 30 years. Yet, climate warming impacts on subtropical species and ecosystems remain unclear. We conducted a passive warming experiment in a subtropical forest in Florida, USA, to determine warming impacts on four species differing in their climatic distribution, growth form, and functional type: Serenoa repens (palm), Andropogon glomeratus (C<sub>4</sub> grass), Pinus palustris (needled evergreen tree), and Quercus laevis (broadleaved deciduous tree). We hypothesized that warming would have neutral-positive effects on photosynthetic processes in monocot species with warmer climatic distributions or adaptations to warmer temperatures, but negative effects on photosynthesis in tree species. We also hypothesized that periods of low soil moisture would alter photosynthetic responses to warming. In both monocot species, warming had no significant effect on net photosynthesis (A) or stomatal conductance (g<sub>s</sub> ) measured at prevailing temperatures, or photosynthetic capacity measured at a common temperature. In P. palustris, warming reduced A (-15%) and g<sub>s</sub> (-28%), and caused small reductions in Rubisco carboxylation and RuBP regeneration. Warming had little effect on photosynthetic processes in Q. laevis. Interestingly, A. glomeratus showed little sensitivity to reduced soil moisture, and all C<sub>3</sub> species reduced A and g<sub>s</sub> as soil moisture declined and did so consistently across temperature treatments. In subtropical forests of the southeastern US, we conclude that climate warming may have neutral or slightly positive effects on the performance of grasses and broadleaved species but negative effects on P. palustris seedlings, foreshadowing possible changes in community and ecosystem properties."
pub.1145978256,ur.011201414666.36,UNF,"Chieppa, Jeff",Biological Sciences,Warming impacts on photosynthetic processes in dominant plant species in a subtropical forest,"Climate warming could shift some subtropical regions to a tropical climate in the next 30 years. Yet, climate warming impacts on subtropical species and ecosystems remain unclear. We conducted a passive warming experiment in a subtropical forest in Florida, USA, to determine warming impacts on four species differing in their climatic distribution, growth form, and functional type: Serenoa repens (palm), Andropogon glomeratus (C<sub>4</sub> grass), Pinus palustris (needled evergreen tree), and Quercus laevis (broadleaved deciduous tree). We hypothesized that warming would have neutral-positive effects on photosynthetic processes in monocot species with warmer climatic distributions or adaptations to warmer temperatures, but negative effects on photosynthesis in tree species. We also hypothesized that periods of low soil moisture would alter photosynthetic responses to warming. In both monocot species, warming had no significant effect on net photosynthesis (A) or stomatal conductance (g<sub>s</sub> ) measured at prevailing temperatures, or photosynthetic capacity measured at a common temperature. In P. palustris, warming reduced A (-15%) and g<sub>s</sub> (-28%), and caused small reductions in Rubisco carboxylation and RuBP regeneration. Warming had little effect on photosynthetic processes in Q. laevis. Interestingly, A. glomeratus showed little sensitivity to reduced soil moisture, and all C<sub>3</sub> species reduced A and g<sub>s</sub> as soil moisture declined and did so consistently across temperature treatments. In subtropical forests of the southeastern US, we conclude that climate warming may have neutral or slightly positive effects on the performance of grasses and broadleaved species but negative effects on P. palustris seedlings, foreshadowing possible changes in community and ecosystem properties."
pub.1146011394,ur.014666102172.94,UNF,"Barringer, M. N.",Philosophy and Religious Studies,"Societal Inputs, Religious Outputs, and Young Adults: A Cross-Cohort Analysis of Attitudes toward Same-Sex Relations and Civil Liberties for Gays and Lesbians"," Background Within an open systems theorization, the degree to which religious identity and attendance at religious services influence attitudes toward same-sex relations and civil liberties for gays and lesbians will be shaped by how religious groups respond to societal inputs over time. In recent decades, while some Christian denominations in the United States have remained resolute in their condemnatory stance on these issues, the religious outputs of others have become more tolerant. A cross-cohort examination of the influence of religious identity and attendance at religious services on such attitudes can help uncover effects of this interplay over time.   Purpose The present study tests the significance of religious identity and attendance at religious services on attitudes toward same-sex relations and civil liberties for gays and lesbians, comparing young adults across the Baby Boomer, Generation X, and Millennial cohorts. The uniqueness of the study is twofold: (1) Cross-cohort analyses are used to compare young adults within a single study rather than examining each cohort in isolation, and (2) the analyses are contextualized within an open systems framework.   Methods Data from the General Social Survey are used to examine the significance of religious identity and attendance at religious services on the attitudes of young adults (ages 20–37) toward moral acceptance of same-sex relations and civil liberties of gays and lesbians. Multiple linear regression analyses are used to test for significant differences across three birth cohorts, controlling for relevant sociodemographics.   Results The analyses demonstrate cross-cohort change in the significance of religious identity on attitudes about the morality of same-sex relations and the civil liberties of gays and lesbians, while attendance at services is consistently a strong predictor across the generations. Of particular interest, among Millennial young adults, unlike previous generations, the evangelical Protestant identity does not affect attitudes about civil liberties for gays and lesbians.   Conclusions and Implications The findings suggest the importance of examining the interplay of religious outputs and societal inputs and how these dynamics influence public opinion over time. This study reveals a need for increased research into how societal inputs have shifted the output of religious organizations, not just toward gays and lesbians, but also other sexual and gender minorities. "
pub.1146012123,ur.01365551077.18,UNF,"Churilla, James R.",Biomedical and Clinical Sciences,Trends in Hyperinsulinemia Among U.S. Adults without Diabetes: A Joinpoint Analysis,
pub.1146012123,ur.016477543151.92,UNF,"Cosentino, Ralph G.",Biomedical and Clinical Sciences,Trends in Hyperinsulinemia Among U.S. Adults without Diabetes: A Joinpoint Analysis,
pub.1146012123,ur.01337755147.18,UNF,"Johnson, Tammie M.",Biomedical and Clinical Sciences,Trends in Hyperinsulinemia Among U.S. Adults without Diabetes: A Joinpoint Analysis,
pub.1146012123,ur.01253770701.51,UNF,"Richardson, Michael R.",Biomedical and Clinical Sciences,Trends in Hyperinsulinemia Among U.S. Adults without Diabetes: A Joinpoint Analysis,
pub.1146046990,ur.011252000536.58,UNF,"Hicks-Roof, Kristen",Biomedical and Clinical Sciences,A Mentoring Program Builds the Bridge with Nutrition Students and Healthcare Professionals.,"Mentoring is an effective strategy to help train and guide emerging professionals to be successful in their careers and to stay abreast as evidence-based recommendations are continuously evolving. Experiential learning opportunities can help students to gain knowledge and improve skillsets. The RD Mentorship Program was established to enhance professional development and knowledge by connecting nutrition students (NS) and registered dietitians (RD). This program used social exchange theory and Kolb's experiential learning theory to evaluate the impact. RD (n=238) and NS (n=302) across Texas and Florida participated in a 1-year, project-based mentoring program from 2016 to 2020. This program collected qualitative and quantitative data in this pre-post program design. While the sheer number of participants over the three academic years was a strength of the program, there were also some valuable lessons learned. Most participants rated their experience as satisfied to highly satisfied (6.7-8.7/10). Five key themes emerged from program evaluation: mutuality, opportunity, career development, diversity and inclusion and barrier. Mentorship, both virtually and in-person, can offer unique ""hands-on"" learning opportunities that bridge the gap between students and healthcare practitioners. The RD Mentorship Program models how mentorships can successfully be applied in diverse health professions."
pub.1146074480,ur.010747712675.93,UNF,"Zhang, Justin Zuopeng",Information and Computing Sciences,The survival of bike-sharing startups in China: an empirical analysis of the influencing factors," Purpose Bike-sharing is popular worldwide, and it has led to a new development direction in green transportation. However, the collapse of many bike-sharing startups and residual social problems has brought about contradictions and challenges to the development of the industry. The purpose of this paper is to determine how internal factors affect the survival of bike-sharing startups.   Design/methodology/approach The authors used binary logit regression as the measurement model to conduct an empirical analysis based on 137 bike-sharing startups in China. The study focuses on using traditional theoretical evidence and considers the uniqueness of the industry to jointly explore the survival factors that influence the emerging business model of bike-sharing.   Findings The results show that entrepreneurial team size and differentiation strategy positively influence survival. Founder-CEOs have a negative impact on survival. Founders' entrepreneurial experience and venture capital have no significant influence on survival.   Originality/value The results verify the role of traditional survival factors in the new business model of sharing economy and fill the research gap on the survival strategy of startups. This study offers a unique perspective for researchers to better understand the sharing economy industry and provides practical guidance for entrepreneurs and investors to enter the market. "
